book_ix,book_id,goodreads_book_id,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,image_url,small_image_url
1714,6148,106128,743233492,9780743233490.0,Kathy Reichs,2006.0,Break No Bones,"Break No Bones (Temperance Brennan, #9)",en-US,3.95,19413,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1715,3366,32501,316734950,9780316734950.0,Michael Connelly,2006.0,Echo Park,"Echo Park (Harry Bosch, #12; Harry Bosch Universe, #14)",eng,4.07,30066,https://images.gr-assets.com/books/1168391416m/32501.jpg,https://images.gr-assets.com/books/1168391416s/32501.jpg
1716,521,79885,739465511,9780739465520.0,Michael Connelly,2005.0,The Lincoln Lawyer ,"The Lincoln Lawyer (Mickey Haller, #1; Harry Bosch Universe, #16)",eng,4.14,149438,https://images.gr-assets.com/books/1370140049m/79885.jpg,https://images.gr-assets.com/books/1370140049s/79885.jpg
1717,4025,84777,446699535,9780446699530.0,Michael Connelly,2002.0,City of Bones,"City of Bones (Harry Bosch, #8; Harry Bosch Universe, #10)",eng,4.04,25096,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1718,2754,32504,446690449,9780446690450.0,Michael Connelly,1998.0,Blood Work,"Blood Work (Harry Bosch Universe, #8; Terry McCaleb #1)",eng,4.11,34296,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1719,3198,49350,044661758X,9780446617580.0,Michael Connelly,1994.0,The Concrete Blonde,"The Concrete Blonde (Harry Bosch, #3; Harry Bosch Universe, #3)",eng,4.12,30286,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1720,2574,24244,446613444,9780446613450.0,Michael Connelly,1993.0,,"The Black Ice (Harry Bosch, #2; Harry Bosch Universe, #2)",eng,4.05,36748,https://images.gr-assets.com/books/1372241876m/24244.jpg,https://images.gr-assets.com/books/1372241876s/24244.jpg
1721,3280,126507,446611638,9780446611630.0,Michael Connelly,2003.0,Lost Light,"Lost Light (Harry Bosch, #9; Harry Bosch Universe, #11)",eng,4.15,29745,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1722,2497,49353,075280944X,9780752809440.0,Michael Connelly,1995.0,The Last Coyote,"The Last Coyote (Harry Bosch, #4; Harry Bosch Universe, #4)",eng,4.21,37717,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1723,3982,32505,446699551,9780446699560.0,Michael Connelly,2005.0,The Closers,"The Closers (Harry Bosch, #11; Harry Bosch Universe, #13)",eng,4.08,24688,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1724,863,301736,076360013X,9780763600140.0,"Sam McBratney, Anita Jeram",1988.0,Guess How Much I Love You,Guess How Much I Love You,en-US,4.36,104690,https://images.gr-assets.com/books/1320457007m/301736.jpg,https://images.gr-assets.com/books/1320457007s/301736.jpg
1725,6530,72978,671722921,9780671722920.0,William Shakespeare,1589.0,,Titus Andronicus,en-US,3.71,16235,https://images.gr-assets.com/books/1397028943m/72978.jpg,https://images.gr-assets.com/books/1397028943s/72978.jpg
1726,6692,82356,1853262439,9781853262430.0,William Shakespeare,1594.0,,The Comedy of Errors,,3.74,16049,https://images.gr-assets.com/books/1328543324m/82356.jpg,https://images.gr-assets.com/books/1328543324s/82356.jpg
1727,1672,10235,812973011,9780812973010.0,Tracy Kidder,2003.0,"Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, a Man Who Would Cure the World","Mountains Beyond Mountains: The Quest of Dr. Paul Farmer, A Man Who Would Cure the World",eng,4.21,53019,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1728,5211,215631,743412028,9780743412020.0,Catherine Ryan Hyde,1999.0,Pay It Forward,Pay It Forward,eng,4.15,18220,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1729,1083,82970,033041836X,9780330418360.0,Alice Sebold,1999.0,Lucky,Lucky,eng,3.77,77462,https://images.gr-assets.com/books/1327190847m/82970.jpg,https://images.gr-assets.com/books/1327190847s/82970.jpg
1730,402,391729,553212281,9780553212280.0,Edgar Allan Poe,1843.0,The Tell-Tale Heart,The Tell-Tale Heart and Other Writings,en-GB,4.15,195689,https://images.gr-assets.com/books/1327936583m/391729.jpg,https://images.gr-assets.com/books/1327936583s/391729.jpg
1731,2468,206172,146000110,9780146000120.0,Edgar Allan Poe,1842.0,The Pit and the Pendulum,The Pit and the Pendulum,eng,4.15,40289,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1732,5394,133729,91879205,9780091879200.0,Michael J. Fox,2002.0,Lucky Man,Lucky Man,eng,4.06,16862,https://images.gr-assets.com/books/1398617130m/133729.jpg,https://images.gr-assets.com/books/1398617130s/133729.jpg
1733,7372,40580,141019999,9780141019990.0,Michael Moore,2001.0,Stupid white men and other sorry excuses for the state of the nation,Stupid White Men,en-GB,3.3,10835,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1734,1035,10884,743264738,9780743264730.0,Walter Isaacson,2007.0,Einstein. His Life and Universe,Einstein: His Life and Universe,eng,4.08,71156,https://images.gr-assets.com/books/1328011405m/10884.jpg,https://images.gr-assets.com/books/1328011405s/10884.jpg
1735,873,78418,439206480,9780439206490.0,"Lemony Snicket, Brett Helquist",1999.0,The Reptile Room,"The Reptile Room (A Series of Unfortunate Events, #2)",eng,3.95,130213,https://images.gr-assets.com/books/1352146294m/78418.jpg,https://images.gr-assets.com/books/1352146294s/78418.jpg
1736,1977,65112,64410161,9780064410170.0,"Lemony Snicket, Brett Helquist",2006.0,The End,"The End (A Series of Unfortunate Events, #13)",en-US,3.99,67018,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1737,1225,131123,64408639,9780064408640.0,"Lemony Snicket, Brett Helquist",2000.0,The Austere Academy,"The Austere Academy (A Series of Unfortunate Events, #5)",eng,3.97,99311,https://images.gr-assets.com/books/1320706187m/131123.jpg,https://images.gr-assets.com/books/1320706187s/131123.jpg
1738,1163,65119,439272637,9780439272640.0,"Lemony Snicket, Brett Helquist",2000.0,The Miserable Mill,"The Miserable Mill (A Series of Unfortunate Events, #4)",en-US,3.83,101325,https://images.gr-assets.com/books/1352146209m/65119.jpg,https://images.gr-assets.com/books/1352146209s/65119.jpg
1739,1289,172327,60566213,9780060566210.0,"Lemony Snicket, Brett Helquist",2001.0,The Ersatz Elevator,"The Ersatz Elevator (A Series of Unfortunate Events, #6)",eng,4.01,90071,https://images.gr-assets.com/books/1352066916m/172327.jpg,https://images.gr-assets.com/books/1352066916s/172327.jpg
1740,1233,150037,60566221,9780060566230.0,"Lemony Snicket, Brett Helquist",2001.0,The Vile Village,"The Vile Village (A Series of Unfortunate Events, #7)",eng,3.94,89733,https://images.gr-assets.com/books/1352066958m/150037.jpg,https://images.gr-assets.com/books/1352066958s/150037.jpg
1741,1827,65118,1405206128,9781405206130.0,"Lemony Snicket, Brett Helquist",2001.0,The Hostile Hospital,"The Hostile Hospital (A Series of Unfortunate Events, #8)",en-GB,3.95,66327,https://images.gr-assets.com/books/1442446120m/65118.jpg,https://images.gr-assets.com/books/1442446120s/65118.jpg
1742,1033,438492,64407683,9780064407690.0,"Lemony Snicket, Brett Helquist",2000.0,The Wide Window,"The Wide Window (A Series of Unfortunate Events, #3)",eng,3.91,118624,https://images.gr-assets.com/books/1320705923m/438492.jpg,https://images.gr-assets.com/books/1320705923s/438492.jpg
1743,1549,324277,64410129,9780064410120.0,"Lemony Snicket, Brett Helquist",2002.0,The Carnivorous Carnival,"The Carnivorous Carnival (A Series of Unfortunate Events, #9)",en-US,3.97,83981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1744,1476,297792,64410137,9780064410140.0,"Lemony Snicket, Brett Helquist",2003.0,The Slippery Slope,"The Slippery Slope (A Series of Unfortunate Events, #10)",en-US,4.0,81362,https://images.gr-assets.com/books/1343701012m/297792.jpg,https://images.gr-assets.com/books/1343701012s/297792.jpg
1745,1774,65111,64410145,9780064410140.0,"Lemony Snicket, Brett Helquist",2004.0,The Grim Grotto,"The Grim Grotto (A Series of Unfortunate Events, #11)",en-US,3.99,73492,https://images.gr-assets.com/books/1415580928m/65111.jpg,https://images.gr-assets.com/books/1415580928s/65111.jpg
1746,1975,65110,64410153,9780064410150.0,"Lemony Snicket, Brett Helquist",2005.0,The Penultimate Peril,"The Penultimate Peril (A Series of Unfortunate Events, #12)",en-US,4.02,67482,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1747,2425,49195,140003003X,9781400030030.0,Bill Clinton,2004.0,My Life,My Life,eng,3.72,35852,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1748,3896,56073,743222253,9780743222260.0,Hillary Rodham Clinton,2003.0,Living History,Living History,en-US,3.75,23870,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1749,1495,87640,60899190,9780060899200.0,Frank Warren,2005.0,PostSecret: Extraordinary Confessions from Ordinary Lives,PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret),,4.01,58841,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1750,2746,84736,446619035,9780446619040.0,James Patterson,2005.0,"Mary, Mary","Mary, Mary (Alex Cross, #11)",eng,3.93,36926,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1751,7468,15673,747569118,9780747569110.0,Louis Sachar,1995.0,Wayside School Gets a Little Stranger,Wayside School Gets A Little Stranger (Wayside School #3),eng,4.18,15566,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1752,8412,104737,6514944,9780006514950.0,Laurie R. King,1995.0,A Monstrous Regiment of Women,"A Monstrous Regiment of Women (Mary Russell, #2)",eng,4.04,15363,https://images.gr-assets.com/books/1334169424m/104737.jpg,https://images.gr-assets.com/books/1334169424s/104737.jpg
1753,8538,71458,,,Amélie Nothomb,1999.0,Stupeur et tremblements,Stupeur et tremblements,fre,3.72,9448,https://images.gr-assets.com/books/1336069300m/71458.jpg,https://images.gr-assets.com/books/1336069300s/71458.jpg
1754,840,402093,440178002,9780440178000.0,James Clavell,1975.0,Shōgun,"Shōgun (Asian Saga, #1)",eng,4.37,104339,https://images.gr-assets.com/books/1397228842m/402093.jpg,https://images.gr-assets.com/books/1397228842s/402093.jpg
1755,637,76778,553278223,9780553278220.0,Ray Bradbury,1950.0,The Martian Chronicles,The Martian Chronicles,en-US,4.12,143236,https://images.gr-assets.com/books/1374049948m/76778.jpg,https://images.gr-assets.com/books/1374049948s/76778.jpg
1756,1641,248596,380729407,9780380729400.0,Ray Bradbury,1962.0,Something Wicked This Way Comes,"Something Wicked This Way Comes (Green Town, #2)",eng,3.95,64813,https://images.gr-assets.com/books/1409596011m/248596.jpg,https://images.gr-assets.com/books/1409596011s/248596.jpg
1757,3127,50033,671037706,9780671037700.0,Ray Bradbury,1957.0,Dandelion Wine,"Dandelion Wine (Green Town, #1)",eng,4.08,32867,https://images.gr-assets.com/books/1374049845m/50033.jpg,https://images.gr-assets.com/books/1374049845s/50033.jpg
1758,1980,24830,000712774X,9780007127740.0,Ray Bradbury,1951.0,The Illustrated Man,The Illustrated Man,eng,4.13,49551,https://images.gr-assets.com/books/1374049820m/24830.jpg,https://images.gr-assets.com/books/1374049820s/24830.jpg
1759,6615,6551,142437298,9780142437290.0,"Saul Bellow, Philip Roth",1964.0,Herzog,Herzog,eng,3.79,14324,https://images.gr-assets.com/books/1386924221m/6551.jpg,https://images.gr-assets.com/books/1386924221s/6551.jpg
1760,3388,373755,679732187,9780679732180.0,William Faulkner,1936.0,"Absalom, Absalom!","Absalom, Absalom!",eng,3.96,30283,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1761,2314,10979,679732268,9780679732270.0,William Faulkner,1932.0,Light in August,Light in August,en-US,3.93,42101,https://images.gr-assets.com/books/1355360091m/10979.jpg,https://images.gr-assets.com/books/1355360091s/10979.jpg
1762,6567,131304,7162219,9780007162220.0,Simon Singh,2004.0,Big Bang: The Origin of the Universe,Big Bang: The Origin of the Universe,,4.14,12488,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1763,1068,29209,1573225789,9781573225790.0,James McBride,1996.0,The Color of Water: A Black Man's Tribute to His White Mother,The Color of Water: A Black Man's Tribute to His White Mother,en-US,4.06,80906,https://images.gr-assets.com/books/1401311300m/29209.jpg,https://images.gr-assets.com/books/1401311300s/29209.jpg
1764,8779,122212,451217454,9780451217460.0,Terry McMillan,1992.0,Waiting to Exhale,Waiting to Exhale (Waiting To Exhale #1),,3.94,11315,https://images.gr-assets.com/books/1309282766m/122212.jpg,https://images.gr-assets.com/books/1309282766s/122212.jpg
1765,7965,122211,451209133,9780451209140.0,Terry McMillan,1989.0,Disappearing Acts,Disappearing Acts,eng,4.21,11309,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1766,5785,123933,573613052,9780573613050.0,Jean-Paul Sartre,1944.0,Huis clos,No Exit,eng,4.13,16533,https://images.gr-assets.com/books/1362639118m/123933.jpg,https://images.gr-assets.com/books/1362639118s/123933.jpg
1767,7812,11041,1579125743,9781579125740.0,Anaïs Nin,1977.0,Delta of Venus,Delta of Venus,eng,3.69,10561,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1768,3025,6419,312306342,9780312306340.0,Janet Evanovich,2007.0,Plum Lovin',"Plum Lovin' (Stephanie Plum, #12.5)",en-US,3.7,43643,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1769,7499,120461,2226135022,9782226135020.0,Éric-Emmanuel Schmitt,1996.0,Oscar et la dame rose,Oscar et la dame rose,,4.2,9928,https://images.gr-assets.com/books/1399593530m/120461.jpg,https://images.gr-assets.com/books/1399593530s/120461.jpg
1770,5051,18646,140280553,9780140280560.0,Dava Sobel,1999.0,Galileo's Daughter,"Galileo's Daughter: A Historical Memoir of Science, Faith and Love",en-US,3.74,21260,https://images.gr-assets.com/books/1414607526m/18646.jpg,https://images.gr-assets.com/books/1414607526s/18646.jpg
1771,3377,12857,812966937,9780812966930.0,"Fyodor Dostoyevsky, Constance Garnett, Gary Saul Morson",1866.0, Игрок ,The Gambler,eng,3.88,21358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1772,5076,6753,034911188X,9780349111890.0,David Foster Wallace,1999.0,Brief Interviews with Hideous Men,Brief Interviews with Hideous Men,eng,3.88,15555,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1773,5318,4006,722533942,9780722533950.0,"Paulo Coelho, Alan R. Clarke",1988.0,As Valkírias,The Valkyries,eng,3.3,14364,https://images.gr-assets.com/books/1414013931m/4006.jpg,https://images.gr-assets.com/books/1414013931s/4006.jpg
1774,2129,62953,1560974273,9781560974280.0,Daniel Clowes,1998.0,Ghost World,Ghost World,eng,3.87,49105,https://images.gr-assets.com/books/1327894702m/62953.jpg,https://images.gr-assets.com/books/1327894702s/62953.jpg
1775,4250,99664,307277771,9780307277770.0,W. Somerset Maugham,1925.0,The Painted Veil,The Painted Veil,eng,3.9,24113,https://images.gr-assets.com/books/1320421719m/99664.jpg,https://images.gr-assets.com/books/1320421719s/99664.jpg
1776,6285,74812,1416535071,9781416535070.0,Daniel Tammet,2006.0,Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant,Born on a Blue Day: Inside the Extraordinary Mind of an Autistic Savant,en-US,3.84,14287,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1777,768,21686,038073186X,9780380731860.0,Dennis Lehane,2003.0,Shutter Island,Shutter Island,eng,4.07,113718,https://images.gr-assets.com/books/1329269081m/21686.jpg,https://images.gr-assets.com/books/1329269081s/21686.jpg
1778,908,10909,074349671X,9780743496710.0,Jodi Picoult,2006.0,The Tenth Circle,The Tenth Circle,eng,3.48,99170,https://images.gr-assets.com/books/1348575053m/10909.jpg,https://images.gr-assets.com/books/1348575053s/10909.jpg
1779,616,14864,743275012,9780743275020.0,Jodi Picoult,2000.0,Plain Truth,Plain Truth,eng,3.97,128406,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1780,2991,10911,743454510,9780743454510.0,Jodi Picoult,2003.0,Second Glance,Second Glance,en-US,3.79,33486,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1781,1685,10915,743418719,9780743418710.0,Jodi Picoult,2001.0,Salem Falls,Salem Falls,en-US,3.8,59930,https://images.gr-assets.com/books/1344397557m/10915.jpg,https://images.gr-assets.com/books/1344397557s/10915.jpg
1782,625,5166,375706771,9780375706780.0,Chris Bohjalian,1997.0,Midwives,Midwives,en-US,3.97,133155,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1783,5216,62212,812974042,9780812974040.0,Sarah Dunant,2006.0,In the Company of the Courtesan,In the Company of the Courtesan,eng,3.76,19614,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1784,4898,33609,155652532X,9781556525320.0,"Anya Seton, Philippa Gregory",1954.0,Katherine,Katherine,eng,4.18,22577,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1785,1501,252499,743246071,9780743246070.0,Philippa Gregory,2003.0,The Queen's Fool,"The Queen's Fool (The Plantagenet and Tudor Novels, #12)",en-US,3.83,69504,https://images.gr-assets.com/books/1399204116m/252499.jpg,https://images.gr-assets.com/books/1399204116s/252499.jpg
1786,700,16181,743272498,9780743272490.0,Philippa Gregory,2005.0,The Constant Princess,"The Constant Princess (The Plantagenet and Tudor Novels, #6)",en-US,3.88,124786,https://images.gr-assets.com/books/1355932704m/16181.jpg,https://images.gr-assets.com/books/1355932704s/16181.jpg
1787,2710,16183,743269268,9780743269260.0,Philippa Gregory,2004.0,The Virgin's Lover,"The Virgin's Lover (The Plantagenet and Tudor Novels, #13)",en-US,3.69,40065,https://images.gr-assets.com/books/1441424964m/16183.jpg,https://images.gr-assets.com/books/1441424964s/16183.jpg
1788,4971,18728,684804484,9780684804480.0,Doris Kearns Goodwin,1994.0,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,eng,4.2,26004,https://images.gr-assets.com/books/1423756471m/18728.jpg,https://images.gr-assets.com/books/1423756471s/18728.jpg
1789,2624,30013,,,Isaac Asimov,1988.0,Prelude to Foundation,Prelude to Foundation,eng,4.05,40342,https://images.gr-assets.com/books/1335782474m/30013.jpg,https://images.gr-assets.com/books/1335782474s/30013.jpg
1790,9758,50091,586057242,9780586057250.0,Isaac Asimov,1982.0,The Complete Robot,The Complete Robot (Robot #0.3),eng,4.34,10362,https://images.gr-assets.com/books/1405467461m/50091.jpg,https://images.gr-assets.com/books/1405467461s/50091.jpg
1791,5055,99245,553290991,9780553291000.0,"Isaac Asimov, Robert Silverberg",1970.0,Nightfall,Nightfall,eng,4.01,21683,https://images.gr-assets.com/books/1368557860m/99245.jpg,https://images.gr-assets.com/books/1368557860s/99245.jpg
1792,5068,210404,195007778,9780195007770.0,Aldo Leopold,1949.0,A Sand County Almanac,A Sand County Almanac and Sketches Here and There,,4.24,16792,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1793,9858,383196,9649007903,,سهراب سپهری,1977.0,هشت کتاب: مرگِ رنگ. زندگیِ خواب‌ه. آوارِ آفتاب. شرقِ اندوه. صدای پای آب. مسافر. حجمِ سبز. ما هیچ، ما نگاه,هشت کتاب,per,4.08,4769,https://images.gr-assets.com/books/1485890816m/383196.jpg,https://images.gr-assets.com/books/1485890816s/383196.jpg
1794,3570,4820,670037605,9780670037600.0,Nathaniel Philbrick,2006.0,"Mayflower: A Story of Courage, Community, and War","Mayflower: A Story of Courage, Community, and War",eng,3.86,25752,https://images.gr-assets.com/books/1474488130m/4820.jpg,https://images.gr-assets.com/books/1474488130s/4820.jpg
1795,3349,6174,684826801,9780684826810.0,"Primo Levi, Stuart J. Woolf, Philip Roth",1947.0,Se questo è un uomo,Survival in Auschwitz,eng,4.28,25625,https://images.gr-assets.com/books/1414374949m/6174.jpg,https://images.gr-assets.com/books/1414374949s/6174.jpg
1796,4527,470495,679774025,9780679774020.0,Rick Bragg,1997.0,All Over But the Shoutin',All Over But the Shoutin',eng,4.09,21072,https://images.gr-assets.com/books/1327905477m/470495.jpg,https://images.gr-assets.com/books/1327905477s/470495.jpg
1797,4639,174403,451212452,9780451212450.0,Tawni O'Dell,1999.0,Back Roads,Back Roads,en-US,3.72,21022,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1798,1386,5157,385333137,9780385333140.0,Anna Quindlen,1998.0,Black and Blue,Black and Blue,eng,3.86,67753,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1799,1675,5187,385265700,9780385265710.0,Jane Hamilton,1988.0,The Book of Ruth,The Book of Ruth,en-US,3.82,56842,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1800,5930,11553,671743058,9780671743060.0,Robert McCammon,1991.0,Boy's Life,Boy's Life,eng,4.32,15752,https://images.gr-assets.com/books/1314302694m/11553.jpg,https://images.gr-assets.com/books/1314302694s/11553.jpg
1801,3688,39031,446611239,9780446611240.0,"Douglas Preston, Lincoln Child",2001.0,The Cabinet of Curiosities,"The Cabinet of Curiosities (Pendergast, #3)",eng,4.26,29003,https://images.gr-assets.com/books/1169235779m/39031.jpg,https://images.gr-assets.com/books/1169235779s/39031.jpg
1802,2644,5167,446678457,9780446678450.0,Lalita Tademy,2001.0,Cane River,Cane River,en-US,4.04,38013,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1803,1185,306654,038531258X,9780385312580.0,Olive Ann Burns,1984.0,Cold Sassy Tree,Cold Sassy Tree,,3.99,82281,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1804,3479,106393,1416521690,9781416521690.0,Sister Souljah,1999.0,The Coldest Winter Ever,The Coldest Winter Ever,en-US,4.47,23737,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1805,5568,10574,843955848,9780843955840.0,Stephen King,2005.0,The Colorado Kid,The Colorado Kid (Hard Case Crime #13),eng,3.28,19406,https://images.gr-assets.com/books/1422099676m/10574.jpg,https://images.gr-assets.com/books/1422099676s/10574.jpg
1806,3308,4477,312421702,9780312421700.0,"Atul Gawande, Susanne Kuhlmann-Krieg",2002.0,Complications: A Surgeon's Notes on an Imperfect Science,Complications: A Surgeon's Notes on an Imperfect Science,en-US,4.23,26267,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
